method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,2,0.9999,17,53,13,5,10.922014,204.303745,2.48096,6.30869e-05,0.00602971,0.000668705
sopt,0.1,2,0.9999,17,53,13,5,6.804622,70.484584,2.43885,2.43491e-05,0.00401028,0.000356767
clssopt,0.1,2,0.9999,17,53,13,10,8.830968,93.507205,2.77016,3.95004e-05,0.0050757,0.000419137
sopt,0.1,2,0.9999,17,53,13,10,7.253341,40.447698,2.4745,2.93717e-05,0.00358839,0.000352825
clssopt,0.1,2,0.9999,17,53,13,15,6.535160,79.277131,3.03146,2.8595e-05,0.00496074,0.000295248
sopt,0.1,2,0.9999,17,53,13,15,6.763977,31.658402,2.78521,2.33824e-05,0.00396515,0.000304451
clssopt,0.1,2,0.9999,17,53,13,20,6.109362,49.659645,3.15006,2.48419e-05,0.00448132,0.000300596
sopt,0.1,2,0.9999,17,53,13,20,7.542360,32.808676,2.8949,2.35843e-05,0.0036341,0.000267613
clssopt,0.1,2,0.9999,17,53,13,25,5.984048,63.307223,3.26061,2.33638e-05,0.0042143,0.000304062
sopt,0.1,2,0.9999,17,53,13,25,6.843293,25.422884,3.01438,2.76687e-05,0.00382568,0.000317606
clssopt,0.1,2,0.9999,17,53,13,30,6.409194,43.326798,3.38706,2.49579e-05,0.00401584,0.000317854
sopt,0.1,2,0.9999,17,53,13,30,5.805836,18.214996,3.01769,2.54904e-05,0.00358676,0.000298698
clssopt,0.1,2,0.9999,17,53,13,35,4.986368,49.124850,3.54886,2.38921e-05,0.00360409,0.000303158
sopt,0.1,2,0.9999,17,53,13,35,4.804451,19.573760,3.16188,2.48852e-05,0.00307204,0.000327881
clssopt,0.1,2,0.9999,17,53,13,40,3.960313,37.664997,3.63854,2.34888e-05,0.00381095,0.000303589
sopt,0.1,2,0.9999,17,53,13,40,5.018469,19.717975,3.89362,2.37311e-05,0.00300736,0.000355866
clssopt,0.1,2,0.9999,17,53,13,45,4.591223,35.660995,3.89304,2.48633e-05,0.00392442,0.000319908
sopt,0.1,2,0.9999,17,53,13,45,5.259551,18.077609,3.48204,2.408e-05,0.0030071,0.000363797
clssopt,0.1,2,0.9999,17,53,13,50,4.620328,36.913658,3.74566,2.31878e-05,0.00388885,0.000303386
sopt,0.1,2,0.9999,17,53,13,50,5.088851,15.692825,3.51906,2.35311e-05,0.00299304,0.000355177
clssopt,0.1,2,0.9999,17,53,13,55,4.886440,29.987041,3.77254,2.35441e-05,0.0039099,0.000307416
sopt,0.1,2,0.9999,17,53,13,55,4.889674,14.637972,3.4399,2.3243e-05,0.00304845,0.000368759
clssopt,0.1,2,0.9999,17,53,13,60,4.551876,31.471283,3.79287,2.29602e-05,0.00390879,0.000304092
sopt,0.1,2,0.9999,17,53,13,60,4.835314,13.576540,3.56955,2.30438e-05,0.00309645,0.000369787
clssopt,0.1,2,0.9999,17,53,13,65,4.446153,32.373281,3.78756,2.30078e-05,0.00394599,0.000304579
sopt,0.1,2,0.9999,17,53,13,65,5.563779,15.042630,3.60115,2.25827e-05,0.00311436,0.000356545
clssopt,0.1,2,0.9999,17,53,13,70,4.699990,35.835814,3.77211,2.24828e-05,0.0038137,0.000307368
sopt,0.1,2,0.9999,17,53,13,70,5.055129,16.315122,3.57126,2.33508e-05,0.00321278,0.000345821
clssopt,0.1,2,0.9999,17,53,13,75,4.852358,28.687428,3.77284,2.29714e-05,0.00387963,0.000308756
sopt,0.1,2,0.9999,17,53,13,75,4.465691,15.038569,3.8542,2.34291e-05,0.00322228,0.000330495
clssopt,0.1,2,0.9999,17,53,13,80,4.930909,34.906411,3.874,2.43737e-05,0.00412166,0.000325215
sopt,0.1,2,0.9999,17,53,13,80,4.713361,16.504911,3.85358,2.30286e-05,0.00320191,0.000330093
clssopt,0.1,2,0.9999,17,53,13,85,4.571157,26.565671,3.75473,2.39432e-05,0.00394232,0.000318975
sopt,0.1,2,0.9999,17,53,13,85,4.944853,16.280710,4.0446,2.27028e-05,0.00317571,0.000335713
clssopt,0.1,2,0.9999,17,53,13,90,4.380605,24.192964,3.85152,2.39328e-05,0.00376559,0.000322386
sopt,0.1,2,0.9999,17,53,13,90,4.426553,14.116253,4.06863,2.30949e-05,0.00321652,0.00033604
clssopt,0.1,2,0.9999,17,53,13,95,4.564070,25.642470,4.1691,2.38403e-05,0.0037327,0.000319339
