EQPglobal,20,24,0.1,0.9999,,8.35093e-06,0.000741652,0.000130839,1.81692,36,24,470,200,454,199,438,221,494,225,470,248,422,221,386,223,346,149,358,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,348,150,286,171,364,170,378,161,308,142,253,102,
EQP,20,24,0.1,0.9999,80,9.38333e-06,0.00065972,0.000192035,0.913971,36,24,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
EQP,20,24,0.1,0.9999,120,8.32878e-06,0.000950949,0.000117716,1.00457,36,24,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,102,
EQP,20,24,0.1,0.9999,160,7.80119e-06,0.00092165,0.000125042,1.18856,36,24,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,149,160,100,160,124,160,124,160,147,160,160,160,160,160,141,160,158,160,160,160,150,160,160,160,160,160,160,160,142,160,102,
EQP,20,24,0.1,0.9999,200,8.32053e-06,0.000752274,0.000125734,3.46788,36,24,200,200,200,199,200,200,200,200,200,200,200,200,200,200,200,149,200,100,200,124,200,124,200,147,200,171,200,164,200,141,200,158,200,178,200,150,200,171,200,170,200,161,200,142,200,102,
EQP,20,24,0.1,0.9999,240,8.33591e-06,0.000743046,0.000129677,3.3537,36,24,240,200,240,199,240,221,240,225,240,240,240,221,240,223,240,149,240,100,240,124,240,124,240,147,240,171,240,164,240,141,240,158,240,178,240,150,240,171,240,170,240,161,240,142,240,102,
EQP,20,24,0.1,0.9999,280,8.29694e-06,0.000740162,0.000130535,2.1247,36,24,280,200,280,199,280,221,280,225,280,248,280,221,280,223,280,149,280,100,280,124,274,124,280,147,280,171,272,164,242,141,272,158,280,178,280,150,280,171,280,170,280,161,280,142,253,102,
EQP,20,24,0.1,0.9999,320,8.34167e-06,0.000736415,0.000130264,1.74507,36,24,320,200,320,199,320,221,320,225,320,248,320,221,320,223,320,149,320,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,320,150,286,171,320,170,320,161,308,142,253,102,
EQP,20,24,0.1,0.9999,360,8.35541e-06,0.000736548,0.000130484,1.65342,36,24,360,200,360,199,360,221,360,225,360,248,360,221,360,223,346,149,360,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,348,150,286,171,360,170,360,161,308,142,253,102,
EQP,20,24,0.1,0.9999,400,8.35139e-06,0.000741174,0.000130886,1.70846,36,24,400,200,400,199,400,221,400,225,400,248,400,221,386,223,346,149,358,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,348,150,286,171,364,170,378,161,308,142,253,102,
EQP,20,24,0.1,0.9999,40,4.34e-05,0.00400315,0.00115394,2.54364,36,24,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
EQP,20,24,0.1,0.9999EQP,20,24,0.1,0.9999,60,1.97653e-06,0.000860563,0.000351538,2.62115,36,24,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
EQP,20,24,0.1,0.9999,100,7.78308e-06,0.000753116,0.000106915,0.972212,36,24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
EQP,20,24,0.1,0.9999,140,7.86564e-06,0.00130266,0.000116835,3.71248,36,24,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,100,140,124,140,124,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,102,
EQP,20,24,0.1,0.9999,180,8.30809e-06,0.000734631,0.000124071,2.07608,36,24,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,149,180,100,180,124,180,124,180,147,180,171,180,164,180,141,180,158,180,178,180,150,180,171,180,170,180,161,180,142,180,102,
EQP,20,24,0.1,0.9999,220,9.64271e-06,0.000657491,0.000202857,1.29702,36,24,220,200,220,199,220,220,220,220,220,220,220,220,220,220,220,149,220,100,220,124,220,124,220,147,220,171,220,164,220,141,220,158,220,178,220,150,220,171,220,170,220,161,220,142,220,102,
EQP,20,24,0.1,0.9999,260,8.2915e-06,0.00074029,0.000130169,1.55947,36,24,260,200,260,199,260,221,260,225,260,248,260,221,260,223,260,149,260,100,260,124,260,124,260,147,260,171,260,164,242,141,260,158,260,178,260,150,260,171,260,170,260,161,260,142,253,102,
EQP,20,24,0.1,0.9999,300,8.32691e-06,0.000733233,0.000130488,1.70644,36,24,300,200,300,199,300,221,300,225,300,248,300,221,300,223,300,149,300,100,289,124,274,124,298,147,300,171,272,164,242,141,272,158,296,178,300,150,286,171,300,170,300,161,300,142,253,102,
EQP,20,24,0.1,0.9999,340,8.35366e-06,0.00073696,0.000130311,1.55129,36,24,340,200,340,199,340,221,340,225,340,248,340,221,340,223,340,149,340,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,340,150,286,171,340,170,340,161,308,142,253,102,
EQP,20,24,0.1,0.9999,380,8.35873e-06,0.000741932,0.000130931,2.78392,36,24,380,200,380,199,380,221,380,225,380,248,380,221,380,223,346,149,358,100,289,124,274,124,298,147,307,171,272,164,242,141,272,158,296,178,348,150,286,171,364,170,378,161,308,142,253,102,
