method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,0,0.9,4,6,6,11,0.6059422200000001,0.01754103920653163
clsSOPT,0,0.9,4,6,6,11,0.295310888,0.01788816208673872
QDEIM,0,0.9,4,6,6,11,0.310380254,0.01764812262582736
clsQDEIM,0,0.9,4,6,6,11,2.48798024,0.01815090414771297
SOPT,0,0.9,4,6,6,16,0.389568948,0.01775373648857074
clsSOPT,0,0.9,4,6,6,16,0.368099576,0.01797167774576809
QDEIM,0,0.9,4,6,6,16,0.3893652520000001,0.01745485136463807
clsQDEIM,0,0.9,4,6,6,16,0.388945547,0.01822474168056633
SOPT,0,0.9,4,6,6,21,0.470316962,0.01776475815402264
clsSOPT,0,0.9,4,6,6,21,0.440841257,0.01800487197267889
QDEIM,0,0.9,4,6,6,21,0.45468403,0.01748421606104679
clsQDEIM,0,0.9,4,6,6,21,0.478435858,0.01822598376976263
SOPT,0,0.9,4,6,6,26,0.533392219,0.01776475815402264
clsSOPT,0,0.9,4,6,6,26,0.489211572,0.0180048719726789
QDEIM,0,0.9,4,6,6,26,0.5495424280000001,0.01742539801274641
clsQDEIM,0,0.9,4,6,6,26,0.55940471,0.01822779586422446
SOPT,0,0.9,4,6,6,31,0.6089494529999999,0.01776475815402265
clsSOPT,0,0.9,4,6,6,31,0.578009675,0.01800487197267889
QDEIM,0,0.9,4,6,6,31,0.6393268379999999,0.01741910886350433
clsQDEIM,0,0.9,4,6,6,31,0.652890618,0.01824952545778043
SOPT,0,0.9,4,6,6,36,0.6715682070000001,0.01776475815402261
clsSOPT,0,0.9,4,6,6,36,0.612853086,0.01800487197267888
QDEIM,0,0.9,4,6,6,36,0.7230588609999999,0.01738737199144106
clsQDEIM,0,0.9,4,6,6,36,0.725023234,0.01827106937928363
SOPT,0,0.9,4,6,6,41,0.765955327,0.01776475815402263
clsSOPT,0,0.9,4,6,6,41,0.7045936749999999,0.01800487197267889
QDEIM,0,0.9,4,6,6,41,0.8085783910000001,0.01737046079510633
clsQDEIM,0,0.9,4,6,6,41,0.802666178,0.01829390242790416
SOPT,0,0.9,4,6,6,46,0.834614344,0.01776475815402264
clsSOPT,0,0.9,4,6,6,46,0.789204119,0.01800487197267888
QDEIM,0,0.9,4,6,6,46,0.8978209029999999,0.01736211322611323
clsQDEIM,0,0.9,4,6,6,46,0.898071776,0.01831931023878938
SOPT,0,0.9,4,6,6,51,0.897594168,0.01776475815402266
clsSOPT,0,0.9,4,6,6,51,0.8514558409999999,0.01800487197267886
QDEIM,0,0.9,4,6,6,51,0.984234279,0.01735134871987967
clsQDEIM,0,0.9,4,6,6,51,0.987710133,0.01834234102423214
SOPT,0,0.9,4,6,6,56,0.987622114,0.01776475815402261
clsSOPT,0,0.9,4,6,6,56,0.928206146,0.01800487197267885
QDEIM,0,0.9,4,6,6,56,1.08340656,0.01735905992024823
clsQDEIM,0,0.9,4,6,6,56,1.081092174,0.01836707570215113
SOPT,0,0.9,4,6,6,61,1.05848688,0.01776475815402266
clsSOPT,0,0.9,4,6,6,61,1.004348434,0.01800487197267886
QDEIM,0,0.9,4,6,6,61,1.183432642,0.01739807557017635
clsQDEIM,0,0.9,4,6,6,61,1.146839097,0.01841656088922758
SOPT,0,0.9,4,6,6,66,1.120645406,0.01776475815402266
clsSOPT,0,0.9,4,6,6,66,1.10069058,0.01800487197267886
QDEIM,0,0.9,4,6,6,66,1.253216662,0.01744191109123431
clsQDEIM,0,0.9,4,6,6,66,1.194356286,0.01845312296652142
SOPT,0,0.9,4,6,6,71,1.200136874,0.01776475815402266
clsSOPT,0,0.9,4,6,6,71,1.156848147,0.01800487197267886
QDEIM,0,0.9,4,6,6,71,1.351236484,0.01745177649714387
clsQDEIM,0,0.9,4,6,6,71,1.204692547,0.01847034601902081
SOPT,0,0.9,4,6,6,76,1.291873927,0.01776475815402267
clsSOPT,0,0.9,4,6,6,76,1.26144504,0.01800487197267886
QDEIM,0,0.9,4,6,6,76,1.417928562,0.01744676869502369
clsQDEIM,0,0.9,4,6,6,76,1.243974696,0.018468804661947
SOPT,0,0.9,4,6,6,81,1.354791989,0.01776475815402265
clsSOPT,0,0.9,4,6,6,81,1.347755791,0.01800487197267888
QDEIM,0,0.9,4,6,6,81,1.480654243,0.01750727401209983
clsQDEIM,0,0.9,4,6,6,81,1.266423576,0.01846781040252764
SOPT,0,0.9,4,6,6,86,1.418617191,0.01776483440640295
clsSOPT,0,0.9,4,6,6,86,1.397115908,0.01800487268350875
QDEIM,0,0.9,4,6,6,86,1.574866235,0.01751383042223571
clsQDEIM,0,0.9,4,6,6,86,1.283707572,0.01846718025300422
SOPT,0,0.9,4,6,6,91,1.465603808,0.01776483613153762
clsSOPT,0,0.9,4,6,6,91,1.440617932,0.01800487386812264
QDEIM,0,0.9,4,6,6,91,1.642067778,0.01752829247490389
clsQDEIM,0,0.9,4,6,6,91,1.283556616,0.01859962316276415
SOPT,0,0.9,4,6,6,96,1.490226229,0.01776521140701623
clsSOPT,0,0.9,4,6,6,96,1.477877224,0.01800496468422736
QDEIM,0,0.9,4,6,6,96,1.727710039,0.01756389006268766
clsQDEIM,0,0.9,4,6,6,96,1.279380088,0.01867247883709948
SOPT,0,0.9,4,6,6,101,1.520081965,0.01776536590465332
clsSOPT,0,0.9,4,6,6,101,1.549944846,0.01800498717119234
QDEIM,0,0.9,4,6,6,101,1.817158589,0.01757309734482458
