method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,3,0.9999,19,21,21,22,0.673669284,0.0006200454056504281
clsQDEIM,3,0.9999,19,21,21,22,0.661167985,0.0002805267342697341
clsSOPT,3,0.9999,19,21,21,23,0.694985959,0.0001257143721545892
clsQDEIM,3,0.9999,19,21,21,23,0.705577683,0.0002650871443868377
clsSOPT,3,0.9999,19,21,21,24,0.708768859,0.0002344617278562648
clsQDEIM,3,0.9999,19,21,21,24,0.698439799,0.0003018298154135821
clsSOPT,3,0.9999,19,21,21,25,0.7265588510000001,8.740728245271699e-05
clsQDEIM,3,0.9999,19,21,21,25,0.715001754,0.0002719923222623877
clsSOPT,3,0.9999,19,21,21,26,0.766254185,0.0003100326566641313
clsQDEIM,3,0.9999,19,21,21,26,0.735024292,0.00029440649362357
clsSOPT,3,0.9999,19,21,21,27,0.760046183,0.0006616713333747841
clsQDEIM,3,0.9999,19,21,21,27,0.776002751,0.0002795002570870127
clsSOPT,3,0.9999,19,21,21,28,0.774234482,0.0003556422529761431
clsQDEIM,3,0.9999,19,21,21,28,0.760892531,0.0003777432678678379
clsSOPT,3,0.9999,19,21,21,29,0.795800823,0.0003278643324811063
clsQDEIM,3,0.9999,19,21,21,29,0.7816954570000001,0.001316702635333121
clsSOPT,3,0.9999,19,21,21,30,0.829250856,9.775598692564122e-05
clsQDEIM,3,0.9999,19,21,21,30,0.796232068,0.0009664528230763005
clsSOPT,3,0.9999,19,21,21,31,0.866826191,0.000277054563064143
clsQDEIM,3,0.9999,19,21,21,31,0.8165529540000001,0.001404521850563311
clsSOPT,3,0.9999,19,21,21,32,0.852336705,0.0003501868002110831
clsQDEIM,3,0.9999,19,21,21,32,0.8320082010000001,0.001202909221483875
clsSOPT,3,0.9999,19,21,21,33,0.875789729,0.0007668333529948192
clsQDEIM,3,0.9999,19,21,21,33,0.832465365,0.001210712775363345
clsSOPT,3,0.9999,19,21,21,34,0.896044619,0.0003606938426185864
clsQDEIM,3,0.9999,19,21,21,34,0.8499095320000001,0.001048642934051244
clsSOPT,3,0.9999,19,21,21,35,0.914807734,0.0001627889707348205
clsQDEIM,3,0.9999,19,21,21,35,0.8714054670000001,0.0009399422830080555
clsSOPT,3,0.9999,19,21,21,36,0.9344654530000001,0.0005431729922525862
clsQDEIM,3,0.9999,19,21,21,36,0.889947762,0.0008040277377458697
clsSOPT,3,0.9999,19,21,21,37,0.948705737,0.0004453769532414739
clsQDEIM,3,0.9999,19,21,21,37,0.908713255,0.0007272289628462656
clsSOPT,3,0.9999,19,21,21,38,0.9579258980000001,0.0002913274785969596
clsQDEIM,3,0.9999,19,21,21,38,0.923756375,0.0007323500312672829
clsSOPT,3,0.9999,19,21,21,39,0.983635741,0.0002823085912282974
clsQDEIM,3,0.9999,19,21,21,39,0.944780477,0.001012641723639587
clsSOPT,3,0.9999,19,21,21,40,0.995829376,0.0003973679303377867
clsQDEIM,3,0.9999,19,21,21,40,0.9728153859999999,0.0009783755054742951
clsSOPT,3,0.9999,19,21,21,41,1.014645486,0.0004062089991653304
clsQDEIM,3,0.9999,19,21,21,41,0.984762147,0.0008759780770545247
clsSOPT,3,0.9999,19,21,21,42,1.029167921,0.0004985366142249204
clsQDEIM,3,0.9999,19,21,21,42,1.009038456,0.0009643977128105686
clsSOPT,3,0.9999,19,21,21,43,1.052349394,0.0003792238343841647
clsQDEIM,3,0.9999,19,21,21,43,1.029929081,0.0008952609360846399
clsSOPT,3,0.9999,19,21,21,44,1.070722254,0.0003635897295938577
clsQDEIM,3,0.9999,19,21,21,44,1.040172579,0.0009080440173735463
clsSOPT,3,0.9999,19,21,21,45,1.084591565,0.0005689607868778021
clsQDEIM,3,0.9999,19,21,21,45,1.055600687,0.0009206730301593404
clsSOPT,3,0.9999,19,21,21,46,1.097602608,0.0005692427143931226
clsQDEIM,3,0.9999,19,21,21,46,1.075616183,0.0009431653466101934
clsSOPT,4,0.99999,24,27,27,28,0.904198339,0.003243365954231837
clsQDEIM,4,0.99999,24,27,27,28,0.867878248,0.001622296175337409
clsSOPT,4,0.99999,24,27,27,29,0.923978628,0.007157893793529565
