p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
,SOPT,3,0.9999,19,21,21,23,0.613860519,0.0003701191790682943
0.1,clsthSOPT,3,0.9999,19,21,21,23,0.5718193149999999,0.00169397648567163
0.1,thSOPT,3,0.9999,19,21,21,23,0.60129347,0.0003701191790677456
1,QDEIM,3,0.9999,19,21,21,23,0.6177342760000001,0.0002080659983241926
0.1,clsthQDEIM,3,0.9999,19,21,21,23,0.568591474,0.001944877400722697
0.1,thQDEIM,3,0.9999,19,21,21,23,0.61817307,0.0002233693278308493
,SOPT,3,0.9999,19,21,21,25,0.649717927,0.0001162585406153712
0.1,clsthSOPT,3,0.9999,19,21,21,25,0.597918849,0.0008570131571141121
0.1,thSOPT,3,0.9999,19,21,21,25,0.637536365,0.0001162585406158493
1,QDEIM,3,0.9999,19,21,21,25,0.668209855,0.0003047137631543689
0.1,clsthQDEIM,3,0.9999,19,21,21,25,0.5953229090000001,0.001886808124865153
0.1,thQDEIM,3,0.9999,19,21,21,25,0.641436895,0.000230072408054677
,SOPT,3,0.9999,19,21,21,27,0.6883893329999999,0.0001694438319742061
0.1,clsthSOPT,3,0.9999,19,21,21,27,0.613843401,0.0008713141684953741
0.1,thSOPT,3,0.9999,19,21,21,27,0.68723961,0.0001694438319737809
1,QDEIM,3,0.9999,19,21,21,27,0.684675392,0.0003117690571829636
0.1,clsthQDEIM,3,0.9999,19,21,21,27,0.630945866,0.002083100374018253
0.1,thQDEIM,3,0.9999,19,21,21,27,0.6782055570000001,0.0003369550589349685
,SOPT,3,0.9999,19,21,21,29,0.718782841,0.000563095380548564
0.1,clsthSOPT,3,0.9999,19,21,21,29,0.629718557,0.0007041352478097179
0.1,thSOPT,3,0.9999,19,21,21,29,0.718094443,0.0005630953805485753
1,QDEIM,3,0.9999,19,21,21,29,0.7181245430000001,0.000266643081623086
0.1,clsthQDEIM,3,0.9999,19,21,21,29,0.729530633,0.001361597628861481
0.1,thQDEIM,3,0.9999,19,21,21,29,0.712471422,0.0003243042576170285
,SOPT,3,0.9999,19,21,21,31,0.767324048,0.0006665527372493055
0.1,clsthSOPT,3,0.9999,19,21,21,31,0.6730491590000001,0.0004591256889751092
0.1,thSOPT,3,0.9999,19,21,21,31,0.749866844,0.0006665527372488689
1,QDEIM,3,0.9999,19,21,21,31,0.721750385,0.0007146900243293877
0.1,clsthQDEIM,3,0.9999,19,21,21,31,0.674371129,0.001283129544864993
0.1,thQDEIM,3,0.9999,19,21,21,31,0.728234206,0.0006056177800900537
,SOPT,3,0.9999,19,21,21,33,0.776930414,0.0004431549637903159
0.1,clsthSOPT,3,0.9999,19,21,21,33,0.7016777439999999,0.0005355380106254699
0.1,thSOPT,3,0.9999,19,21,21,33,0.784252622,0.0004431549637906798
1,QDEIM,3,0.9999,19,21,21,33,0.764034654,0.0007601535148898243
0.1,clsthQDEIM,3,0.9999,19,21,21,33,0.7008761870000001,0.001430820570695833
0.1,thQDEIM,3,0.9999,19,21,21,33,0.764169671,0.000596037706638917
,SOPT,3,0.9999,19,21,21,35,0.80276096,0.0006982988046471187
0.1,clsthSOPT,3,0.9999,19,21,21,35,0.7374797829999999,0.0005135002344789786
0.1,thSOPT,3,0.9999,19,21,21,35,0.810728392,0.0006982988046470251
1,QDEIM,3,0.9999,19,21,21,35,0.821679658,0.000605842735060017
0.1,clsthQDEIM,3,0.9999,19,21,21,35,0.7138309780000001,0.001402481157472436
0.1,thQDEIM,3,0.9999,19,21,21,35,0.7959893730000001,0.0002142726739954657
,SOPT,3,0.9999,19,21,21,37,0.851955256,0.0004290210837104555
0.1,clsthSOPT,3,0.9999,19,21,21,37,0.758350224,0.0004188575744544053
0.1,thSOPT,3,0.9999,19,21,21,37,0.8504596089999999,0.0004290210837109237
1,QDEIM,3,0.9999,19,21,21,37,0.830396239,0.0003873209858284718
0.1,clsthQDEIM,3,0.9999,19,21,21,37,0.738423733,0.001231803227559921
0.1,thQDEIM,3,0.9999,19,21,21,37,0.832409661,0.0004883687884107525
,SOPT,3,0.9999,19,21,21,39,0.861306696,0.0004184547807224449
0.1,clsthSOPT,3,0.9999,19,21,21,39,0.7855181929999999,0.0004163563201683788
0.1,thSOPT,3,0.9999,19,21,21,39,0.883808316,0.0004184547807227806
1,QDEIM,3,0.9999,19,21,21,39,0.860162903,0.000360699153907191
0.1,clsthQDEIM,3,0.9999,19,21,21,39,0.759145763,0.001193545492320825
0.1,thQDEIM,3,0.9999,19,21,21,39,0.856658971,0.0004449705065323996
,SOPT,3,0.9999,19,21,21,41,0.888832369,0.000391704477051771
0.1,clsthSOPT,3,0.9999,19,21,21,41,0.841442478,0.0004286661098753128
0.1,thSOPT,3,0.9999,19,21,21,41,0.911999366,0.0003917044770517957
1,QDEIM,3,0.9999,19,21,21,41,0.8964522210000001,0.0004538467812482973
0.1,clsthQDEIM,3,0.9999,19,21,21,41,0.789170311,0.001200793284008978
0.1,thQDEIM,3,0.9999,19,21,21,41,0.892286104,0.0004542171440099244
,SOPT,3,0.9999,19,21,21,43,0.917041904,0.0003307410708348265
0.1,clsthSOPT,3,0.9999,19,21,21,43,0.8442106549999999,0.0004957264393946147
0.1,thSOPT,3,0.9999,19,21,21,43,0.92856129,0.0003307410708352651
1,QDEIM,3,0.9999,19,21,21,43,0.983232986,0.0004711202921762566
0.1,clsthQDEIM,3,0.9999,19,21,21,43,0.8048362560000001,0.001224389564848019
0.1,thQDEIM,3,0.9999,19,21,21,43,0.928310712,0.0004748107909136035
,SOPT,3,0.9999,19,21,21,45,1.030287961,9.44275783360269e-05
0.1,clsthSOPT,3,0.9999,19,21,21,45,0.867602302,0.0002897887035358473
0.1,thSOPT,3,0.9999,19,21,21,45,0.949520654,9.442757833577593e-05
1,QDEIM,3,0.9999,19,21,21,45,0.954661757,0.0004744102678447797
0.1,clsthQDEIM,3,0.9999,19,21,21,45,0.8140147879999999,0.000861419055858131
0.1,thQDEIM,3,0.9999,19,21,21,45,0.960199899,0.0003541910902067991
,SOPT,3,0.9999,19,21,21,47,0.978505814,8.530622274075963e-05
0.1,clsthSOPT,3,0.9999,19,21,21,47,0.901313913,0.0002748960712918423
0.1,thSOPT,3,0.9999,19,21,21,47,0.98613882,8.530622274069806e-05
1,QDEIM,3,0.9999,19,21,21,47,0.990686594,0.0005312979802043036
0.1,clsthQDEIM,3,0.9999,19,21,21,47,0.826637131,0.0009823164069550497
0.1,thQDEIM,3,0.9999,19,21,21,47,1.00915436,0.0003760020634077492
,SOPT,3,0.9999,19,21,21,49,0.998731922,8.479699620476482e-05
0.1,clsthSOPT,3,0.9999,19,21,21,49,0.915664353,0.0004021511379846709
0.1,thSOPT,3,0.9999,19,21,21,49,1.00901385,8.479699620471432e-05
1,QDEIM,3,0.9999,19,21,21,49,1.017557306,0.0004414639108042257
0.1,clsthQDEIM,3,0.9999,19,21,21,49,0.838054443,0.0008971760571439405
0.1,thQDEIM,3,0.9999,19,21,21,49,1.020753794,0.0003761964517371875
,SOPT,3,0.9999,19,21,21,51,1.035552995,0.0001275541314282762
